cusip,assets_nis_1000s,assets_usd,assets_usd_mn
1105741.0,23321.0,6483458.44,6.48
1105758.0,20723.0,5761189.88,5.76
1105766.0,25740.0,7155963.3,7.16
1105774.0,2501.0,695301.64,0.7
1105832.0,41029.0,11406449.82,11.41
1106053.0,158560.0,44081178.76,44.08
1106269.0,30952.0,8604948.57,8.6
1107721.0,48150.0,13386155.13,13.39
1107739.0,31550.0,8771198.22,8.77
1107747.0,10183.0,2830970.25,2.83
1107754.0,40804.0,11343897.69,11.34
1107762.0,188693.0,52458437.59,52.46
1108059.0,73691.0,20486794.55,20.49
1108067.0,298634.0,83023074.78,83.02
1108075.0,44994.0,12508757.3,12.51
1108083.0,5742.0,1596330.28,1.6
1108091.0,112675.0,31324715.04,31.32
1108109.0,316677.0,88039199.33,88.04
1109230.0,229555.0,63818459.83,63.82
1109248.0,779414.0,216684459.27,216.68
1111657.0,101292.0,28160133.44,28.16
1111665.0,144629.0,40208229.08,40.21
1111889.0,22523.0,6261606.89,6.26
1111897.0,11387.0,3165693.63,3.17
1111905.0,132981.0,36969974.98,36.97
1115161.0,3226.0,896858.49,0.9
1116334.0,650035.0,180715874.34,180.72
1116342.0,6.0,1668.06,0.0
1116367.0,345.0,95913.26,0.1
1116375.0,97351.0,27064498.19,27.06
1116854.0,1496.0,415902.14,0.42
1116896.0,44359.0,12332221.3,12.33
1116904.0,858067.0,238550736.73,238.55
1116912.0,400603.0,111371420.63,111.37
1116920.0,81105.0,22547956.63,22.55
1116938.0,199969.0,55593272.17,55.59
1116946.0,69475.0,19314706.7,19.31
1116953.0,80453.0,22366694.47,22.37
1116961.0,169927.0,47241312.2,47.24
1116979.0,2034086.0,565495134.83,565.5
1116987.0,199211.0,55382541.01,55.38
1116995.0,5023.0,1396441.48,1.4
1117001.0,82434.0,22917431.19,22.92
1117019.0,193150.0,53697525.72,53.7
1117027.0,5709.0,1587155.96,1.59
1117035.0,10561.0,2936057.83,2.94
1117043.0,20240.0,5626911.31,5.63
1117050.0,84788.0,23571865.44,23.57
1117076.0,18084.0,5027522.94,5.03
1117084.0,208414.0,57941062.0,57.94
1117092.0,372815.0,103646093.97,103.65
1117100.0,19975.0,5553238.81,5.55
1117118.0,7742.0,2152349.18,2.15
1117126.0,4923.0,1368640.53,1.37
